序号,域名,注册人,邮箱,电话,注册商,DNS,创建时间,过期时间
1,temuinfohub.xyz,,please query the rdds service of the registrar of record identified in this output for information on how to contact the registrant.admin.or tech contact of the queried domain name,,DNSPod.Inc.,cellist.dnspod.net/twenty.dnspod.net,2024-01-14 11:31:21,2028-01-14 23:59:59
2,temu.art,,please query the rdds service of the registrar of record identified in this output for information on how to contact the registrant.admin.or tech contact of the queried domain name,,DNSPod.Inc.,cellist.dnspod.net/twenty.dnspod.net,2023-11-24 07:00:33,2025-11-24 23:59:59
3,viptemu.xyz,,please query the rdds service of the registrar of record identified in this output for information on how to contact the registrant.admin.or tech contact of the queried domain name,,DNSPod.Inc.,cellist.dnspod.net/twenty.dnspod.net,2023-11-24 06:46:27,2026-11-24 23:59:59
4,temuvip.vip,redacted for privacy,please query the rdds service of the registrar of record identified in this output for information on how to contact the registrant.admin.or tech contact of the queried domain name,,DNSPod.Inc.,twenty.dnspod.net/cellist.dnspod.net,2023-11-24 06:46:26,2025-11-24 06:46:26
5,plus-temu.xyz,,please query the rdds service of the registrar of record identified in this output for information on how to contact the registrant.admin.or tech contact of the queried domain name,,DNSPod.Inc.,cellist.dnspod.net/twenty.dnspod.net,2023-11-24 06:46:25,2026-11-24 23:59:59
6,grouptemu.vip,redacted for privacy,please query the rdds service of the registrar of record identified in this output for information on how to contact the registrant.admin.or tech contact of the queried domain name,,DNSPod.Inc.,twenty.dnspod.net/cellist.dnspod.net,2023-11-24 06:46:25,2025-11-24 06:46:25
7,temu-media.vip,redacted for privacy,please query the rdds service of the registrar of record identified in this output for information on how to contact the registrant.admin.or tech contact of the queried domain name,,DNSPod.Inc.,twenty.dnspod.net/cellist.dnspod.net,2023-11-24 06:46:24,2025-11-24 06:46:24
8,pinduoduotemu.vip,redacted for privacy,please query the rdds service of the registrar of record identified in this output for information on how to contact the registrant.admin.or tech contact of the queried domain name,,DNSPod.Inc.,twenty.dnspod.net/cellist.dnspod.net,2023-11-24 06:44:51,2025-11-24 06:44:51
9,sb-temu.xyz,,please query the rdds service of the registrar of record identified in this output for information on how to contact the registrant.admin.or tech contact of the queried domain name,,DNSPod.Inc.,cellist.dnspod.net/twenty.dnspod.net,2023-11-24 06:44:47,2026-11-24 23:59:59
10,company-temu.xyz,,please query the rdds service of the registrar of record identified in this output for information on how to contact the registrant.admin.or tech contact of the queried domain name,,DNSPod.Inc.,cellist.dnspod.net/twenty.dnspod.net,2023-11-24 06:44:47,2026-11-24 23:59:59
11,temu-cloud.mobi,redacted,redacted,,DNSPod.Inc.,cellist.dnspod.net/twenty.dnspod.net,2023-11-24 06:44:45,2025-11-24 06:44:45
12,plustemu.biz,redacted for privacy,please query the rdds service of the registrar of record identified in this output for information on how to contact the registrant.admin.or tech contact of the queried domain name,,DNSPod.Inc.,twenty.dnspod.net/cellist.dnspod.net,2023-11-24 06:44:45,2025-11-24 06:44:45
13,temu-news.vip,redacted for privacy,please query the rdds service of the registrar of record identified in this output for information on how to contact the registrant.admin.or tech contact of the queried domain name,,DNSPod.Inc.,twenty.dnspod.net/cellist.dnspod.net,2023-11-24 06:44:43,2025-11-24 06:44:43
14,corp-temu.info,redacted,redacted,,DNSPod.Inc.,cellist.dnspod.net/twenty.dnspod.net,2023-11-24 06:44:41,2025-11-24 06:44:41
15,newstemu.info,redacted,redacted,,DNSPod.Inc.,cellist.dnspod.net/twenty.dnspod.net,2023-11-24 06:44:40,2025-11-24 06:44:40
