序号,域名,注册人,邮箱,电话,注册商,DNS,创建时间,过期时间
1,gpfserhdtbmu.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns31.hichina.com/dns32.hichina.com,2025-06-15 17:15:46,2026-06-15 17:15:46
2,uaxrgqaeyih.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns19.hichina.com/dns20.hichina.com,2025-05-23 15:54:08,2026-05-23 15:54:08
3,cyfbxadqrq.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns9.hichina.com/dns10.hichina.com,2025-05-06 20:22:34,2026-05-06 20:22:34
4,bpmpbjoyxfkf.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns11.hichina.com/dns12.hichina.com,2024-11-11 10:30:41,2025-11-11 10:30:41
5,glzwmybjww.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns25.hichina.com/dns26.hichina.com,2024-11-11 10:30:40,2025-11-11 10:30:40
6,jrhurswnyo.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns25.hichina.com/dns26.hichina.com,2024-11-11 10:30:40,2025-11-11 10:30:40
7,djulafjnwkyz.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns7.hichina.com/dns8.hichina.com,2024-11-11 10:30:40,2025-11-11 10:30:40
8,lcywxfkkeh.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns7.hichina.com/dns8.hichina.com,2024-11-11 10:30:40,2025-11-11 10:30:40
9,diqaardpip.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns1.hichina.com/dns2.hichina.com,2024-11-11 10:30:40,2025-11-11 10:30:40
10,lgjraeeewjln.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns19.hichina.com/dns20.hichina.com,2024-11-11 10:30:40,2025-11-11 10:30:40
11,bfwczlyepkzy.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns15.hichina.com/dns16.hichina.com,2024-11-11 10:30:39,2025-11-11 10:30:39
12,vrbprmiykrbj.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns7.hichina.com/dns8.hichina.com,2024-11-11 10:30:39,2025-11-11 10:30:39
13,rgidlokyvlc.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns31.hichina.com/dns32.hichina.com,2024-11-11 10:30:39,2025-11-11 10:30:39
14,eyjvbxjwen.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns29.hichina.com/dns30.hichina.com,2024-11-11 10:30:39,2025-11-11 10:30:39
15,zoremcvifln.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns23.hichina.com/dns24.hichina.com,2024-11-11 10:30:39,2025-11-11 10:30:39
16,hhlxozeadp.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns17.hichina.com/dns18.hichina.com,2024-11-11 10:30:39,2025-11-11 10:30:39
17,brnosttzlmzy.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns4.hichina.com/dns3.hichina.com,2024-11-11 10:30:38,2025-11-11 10:30:38
18,wbjtgqiaui.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns13.hichina.com/dns14.hichina.com,2024-11-11 10:30:38,2025-11-11 10:30:38
19,fawqcjzzvpo.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns15.hichina.com/dns16.hichina.com,2024-11-11 10:30:38,2025-11-11 10:30:38
20,dpdligmhjk.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns7.hichina.com/dns8.hichina.com,2024-11-11 10:30:38,2025-11-11 10:30:38
21,ccoeofwbbuqy.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns19.hichina.com/dns20.hichina.com,2024-11-11 10:30:37,2025-11-11 10:30:37
22,cfcfcyqxfvc.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns9.hichina.com/dns10.hichina.com,2024-11-11 10:30:37,2025-11-11 10:30:37
23,beofvcrdnhv.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns11.hichina.com/dns12.hichina.com,2024-11-11 10:30:37,2025-11-11 10:30:37
24,qxagxxmxfyh.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns25.hichina.com/dns26.hichina.com,2024-11-11 10:30:37,2025-11-11 10:30:37
25,begxqzuqytk.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns11.hichina.com/dns12.hichina.com,2024-11-11 10:30:37,2025-11-11 10:30:37
26,jmuatitdaulz.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns11.hichina.com/dns12.hichina.com,2024-11-11 10:30:37,2025-11-11 10:30:37
27,jzrvrumuktk.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns27.hichina.com/dns28.hichina.com,2024-11-11 10:30:36,2025-11-11 10:30:36
28,byovnmstcygp.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns27.hichina.com/dns28.hichina.com,2024-11-11 10:30:36,2025-11-11 10:30:36
